search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,skill,min_years_of_exp
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,maintenance,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,management,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Quality,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Oil & Gas/Energy,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,mechanical engineering,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,qa,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,qc,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,quality assurance,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,engineering,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,quality,3.0
Data Engineer,"Inspector I, QC Mechanical",International Maritime Industries,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,production,3.0
