search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,years_of_experience,skill
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Microsoft Excel
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Microsoft Powerpoint
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Financial Modeling
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Asset Management
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Equity Research
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Investment Banking
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Microsoft excel
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,·Accounting/Finance
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,·Analyst/Research
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Financial Modeling
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Market Research
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,Data Analysis
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Real Estate Valuation
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Project Management
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Report Writing
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Risk Assessment
Data Analyst,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis,Cairo,Egypt",11 days ago,Full Time,On-site,Experienced,·5 - 7 Yrs of Exp,· Stakeholder Communication
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,·Accounting/Finance
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,·Analyst/Research
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· completed a Credit Course
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· interpreting financial statements
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Previous experience in banking or microfinance is a plus
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Report Writing
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Financial Analysis
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Attention to Detail
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Financial Modeling
Data Analyst,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki,Giza,Egypt",14 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Team Collaboration
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,·Marketing/PR/Advertising
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,· E-Commerce Platform Management
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,Data Analysis
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,· Microsoft Excel
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,· sheets google
Data Analyst,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura,Dakahlia,Egypt",1 month ago,Full Time,On-site,Entry Level,·1 - 3 Yrs of Exp,· SEO
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,·Operations/Management
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,·Analyst/Research
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,Data Analysis
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· analytical
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Operations
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Analytics
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Communication
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Communication skills
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Customer Service
Data Analyst,Operation Analyst Specialist,Etisal EG -,"New Cairo,Cairo,Egypt",22 days ago,Full Time,On-site,Experienced,·2 - 4 Yrs of Exp,· Customer Support
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,·IT/Software Development
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,·Analyst/Research
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,·Engineering - Telecom/Technology
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Systems Analysis
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Business Process Modeling
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Requirements Gathering
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Technical Documentation
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Project Coordination
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Problem Solving
Data Analyst,Senior System Analyst | Bahrain,Confidential -,"Cairo,Egypt",24 days ago,Full Time,On-site,Experienced,·2+ Yrs of Exp,· Software Implementation
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,·Accounting/Finance
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,·Business Development
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,·Analyst/Research
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· Financial Analysis
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,Data Visualization
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· Business Intelligence
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· SQL
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· Excel
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· Reporting
Data Analyst,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki,Giza,Egypt",1 month ago,Full Time,On-site,Experienced,·2 - 3 Yrs of Exp,· Dashboard Development
Data Analyst,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi,United Arab Emirates",28 days ago,Full Time,Remote,Entry Level,·1 - 5 Yrs of Exp,·Accounting/Finance
Data Analyst,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi,United Arab Emirates",28 days ago,Full Time,Remote,Entry Level,·1 - 5 Yrs of Exp,· Budgeting and forecasting
Data Analyst,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi,United Arab Emirates",28 days ago,Full Time,Remote,Entry Level,·1 - 5 Yrs of Exp,· Cost control
Data Analyst,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi,United Arab Emirates",28 days ago,Full Time,Remote,Entry Level,·1 - 5 Yrs of Exp,· Project controls
Data Analyst,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi,United Arab Emirates",28 days ago,Full Time,Remote,Entry Level,·1 - 5 Yrs of Exp,Data analysis
